Year,Country,Value 1,Value 2
1992,Dem. People's Rep. Of Korea,67.75865644,-0.23
1993,Dem. People's Rep. Of Korea,67.680904,-0.34
1994,Dem. People's Rep. Of Korea,67.60315157,-0.46
1995,Dem. People's Rep. Of Korea,67.52539913,-0.57
1996,Dem. People's Rep. Of Korea,67.44764669,-0.69
1997,Dem. People's Rep. Of Korea,67.36989426,-0.80
1998,Dem. People's Rep. Of Korea,67.29214182,-0.92
1999,Dem. People's Rep. Of Korea,67.21438938,-1.03
2000,Dem. People's Rep. Of Korea,67.13663695,-1.14
2001,Dem. People's Rep. Of Korea,66.85032045,-1.57
2002,Dem. People's Rep. Of Korea,66.72383511,-1.75
2003,Dem. People's Rep. Of Korea,66.625,-1.90
2004,Dem. People's Rep. Of Korea,66.51931419,-2.05
2005,Dem. People's Rep. Of Korea,66.40681466,-2.22
2006,Dem. People's Rep. Of Korea,66.29438481,-2.39
2007,Dem. People's Rep. Of Korea,66.17519604,-2.56
2008,Dem. People's Rep. Of Korea,66.03567378,-2.77
2009,Dem. People's Rep. Of Korea,65.89635277,-2.97
2010,Dem. People's Rep. Of Korea,65.70987654,-3.25
2011,Dem. People's Rep. Of Korea,65.61374627,-3.39
2012,Dem. People's Rep. Of Korea,65.43006885,-3.66
2013,Dem. People's Rep. Of Korea,65.24952271,-3.92
2014,Dem. People's Rep. Of Korea,65.1442061,-4.08
2015,Dem. People's Rep. Of Korea,65.03155626,-4.24
2016,Dem. People's Rep. Of Korea,64.87911457,-4.47
2017,Dem. People's Rep. Of Korea,64.78309917,-4.61
2018,Dem. People's Rep. Of Korea,64.67391304,-4.77
1990,Tanzania,64.78890269,0
1991,Tanzania,64.36894333,-0.65
1992,Tanzania,63.94898397,-1.30
1993,Tanzania,63.52902461,-1.94
1994,Tanzania,63.10906525,-2.59
1995,Tanzania,62.68910589,-3.24
1996,Tanzania,62.26914653,-3.89
1997,Tanzania,61.84918718,-4.54
1998,Tanzania,61.42922782,-5.19
1999,Tanzania,61.00926846,-5.83
2000,Tanzania,60.5893091,-6.48
2001,Tanzania,60.16934974,-7.13
2002,Tanzania,59.74939038,-7.78
2003,Tanzania,59.32943102,-8.43
2004,Tanzania,58.90947166,-9.07
2005,Tanzania,58.48951231,-9.72
2006,Tanzania,58.06955295,-10.37
2007,Tanzania,57.64959359,-11.02
2008,Tanzania,57.22963423,-11.67
2009,Tanzania,56.80967487,-12.32
2010,Tanzania,56.38971551,-12.96
2011,Tanzania,55.96975389,-13.61
2012,Tanzania,55.54979228,-14.26
2013,Tanzania,55.12983066,-14.91
2014,Tanzania,54.70986904,-15.56
2015,Tanzania,54.28990743,-16.20
2016,Tanzania,53.76044254,-17.02
2017,Tanzania,53.23097765,-17.84
2018,Tanzania,52.70151276,-18.66
1990,Paraguay,64.298666,0
1991,Paraguay,63.65577397,-1.00
1992,Paraguay,63.01288195,-2.00
1993,Paraguay,62.36998993,-3.00
1994,Paraguay,61.72709791,-4.00
1995,Paraguay,61.08420589,-5.00
1996,Paraguay,60.44131387,-6.00
1997,Paraguay,59.79842185,-7.00
1998,Paraguay,59.15552983,-8.00
1999,Paraguay,58.51263781,-9.00
2000,Paraguay,57.86974578,-10.00
2001,Paraguay,57.00857287,-11.34
2002,Paraguay,56.14739995,-12.68
2003,Paraguay,55.28622703,-14.02
2004,Paraguay,54.42505412,-15.36
2005,Paraguay,53.5638812,-16.70
2006,Paraguay,52.70270828,-18.03
2007,Paraguay,51.84153536,-19.37
2008,Paraguay,50.98036245,-20.71
2009,Paraguay,50.11918953,-22.05
2010,Paraguay,49.25801661,-23.39
2011,Paraguay,48.21534357,-25.01
2012,Paraguay,47.17267053,-26.64
2013,Paraguay,46.12999748,-28.26
2014,Paraguay,45.08732444,-29.88
2015,Paraguay,44.0446514,-31.50
2016,Paraguay,43.62730934,-32.15
2017,Paraguay,42.63848477,-33.69
2018,Paraguay,41.93538887,-34.78
