Year,Country,Value 1,Value 2
2013,Indonesia,53.47870632,-0.9%
2014,Indonesia,52.96740396,-1.0%
2015,Indonesia,52.45610161,-1.0%
2016,Indonesia,50.74345453,-3.3%
2017,Indonesia,50.03933382,-1.4%
2018,Indonesia,49.71681778,-0.6%
1990,Dem. People's Rep. Of Korea,67.91416131,
1991,Dem. People's Rep. Of Korea,67.83640887,-0.1%
1992,Dem. People's Rep. Of Korea,67.75865644,-0.1%
1993,Dem. People's Rep. Of Korea,67.680904,-0.1%
1994,Dem. People's Rep. Of Korea,67.60315157,-0.1%
1995,Dem. People's Rep. Of Korea,67.52539913,-0.1%
1996,Dem. People's Rep. Of Korea,67.44764669,-0.1%
1997,Dem. People's Rep. Of Korea,67.36989426,-0.1%
1998,Dem. People's Rep. Of Korea,67.29214182,-0.1%
1999,Dem. People's Rep. Of Korea,67.21438938,-0.1%
2000,Dem. People's Rep. Of Korea,67.13663695,-0.1%
2001,Dem. People's Rep. Of Korea,66.85032045,-0.4%
2002,Dem. People's Rep. Of Korea,66.72383511,-0.2%
2003,Dem. People's Rep. Of Korea,66.625,-0.1%
2004,Dem. People's Rep. Of Korea,66.51931419,-0.2%
2005,Dem. People's Rep. Of Korea,66.40681466,-0.2%
2006,Dem. People's Rep. Of Korea,66.29438481,-0.2%
2007,Dem. People's Rep. Of Korea,66.17519604,-0.2%
2008,Dem. People's Rep. Of Korea,66.03567378,-0.2%
2009,Dem. People's Rep. Of Korea,65.89635277,-0.2%
2010,Dem. People's Rep. Of Korea,65.70987654,-0.3%
2011,Dem. People's Rep. Of Korea,65.61374627,-0.1%
2012,Dem. People's Rep. Of Korea,65.43006885,-0.3%
2013,Dem. People's Rep. Of Korea,65.24952271,-0.3%
2014,Dem. People's Rep. Of Korea,65.1442061,-0.2%
2015,Dem. People's Rep. Of Korea,65.03155626,-0.2%
2016,Dem. People's Rep. Of Korea,64.87911457,-0.2%
2017,Dem. People's Rep. Of Korea,64.78309917,-0.1%
2018,Dem. People's Rep. Of Korea,64.67391304,-0.2%
1990,Tanzania,64.78890269,
1991,Tanzania,64.36894333,-0.6%
1992,Tanzania,63.94898397,-0.7%
1993,Tanzania,63.52902461,-0.7%
1994,Tanzania,63.10906525,-0.7%
1995,Tanzania,62.68910589,-0.7%
1996,Tanzania,62.26914653,-0.7%
1997,Tanzania,61.84918718,-0.7%
1998,Tanzania,61.42922782,-0.7%
1999,Tanzania,61.00926846,-0.7%
2000,Tanzania,60.5893091,-0.7%
2001,Tanzania,60.16934974,-0.7%
2002,Tanzania,59.74939038,-0.7%
2003,Tanzania,59.32943102,-0.7%
2004,Tanzania,58.90947166,-0.7%
2005,Tanzania,58.48951231,-0.7%
2006,Tanzania,58.06955295,-0.7%
2007,Tanzania,57.64959359,-0.7%
2008,Tanzania,57.22963423,-0.7%
2009,Tanzania,56.80967487,-0.7%
2010,Tanzania,56.38971551,-0.7%
2011,Tanzania,55.96975389,-0.7%
2012,Tanzania,55.54979228,-0.8%
2013,Tanzania,55.12983066,-0.8%
2014,Tanzania,54.70986904,-0.8%
2015,Tanzania,54.28990743,-0.8%
2016,Tanzania,53.76044254,-1.0%
2017,Tanzania,53.23097765,-1.0%
2018,Tanzania,52.70151276,-1.0%
1990,Paraguay,64.298666,
1991,Paraguay,63.65577397,-1.0%
1992,Paraguay,63.01288195,-1.0%
1993,Paraguay,62.36998993,-1.0%
1994,Paraguay,61.72709791,-1.0%
1995,Paraguay,61.08420589,-1.0%
1996,Paraguay,60.44131387,-1.1%
1997,Paraguay,59.79842185,-1.1%
1998,Paraguay,59.15552983,-1.1%
1999,Paraguay,58.51263781,-1.1%
2000,Paraguay,57.86974578,-1.1%
2001,Paraguay,57.00857287,-1.5%
2002,Paraguay,56.14739995,-1.5%
2003,Paraguay,55.28622703,-1.5%
2004,Paraguay,54.42505412,-1.6%
2005,Paraguay,53.5638812,-1.6%
2006,Paraguay,52.70270828,-1.6%
2007,Paraguay,51.84153536,-1.6%
2008,Paraguay,50.98036245,-1.7%
2009,Paraguay,50.11918953,-1.7%
2010,Paraguay,49.25801661,-1.7%
2011,Paraguay,48.21534357,-2.1%
2012,Paraguay,47.17267053,-2.2%
2013,Paraguay,46.12999748,-2.2%
2014,Paraguay,45.08732444,-2.3%
2015,Paraguay,44.0446514,-2.3%
2016,Paraguay,43.62730934,-0.9%
2017,Paraguay,42.63848477,-2.3%
2018,Paraguay,41.93538887,-1.6%
