Year,Country,Value 1,Value 2
2004,Dem. People's Rep. Of Korea,66.51931419,-2.053838394
2005,Dem. People's Rep. Of Korea,66.40681466,-2.219487984
2006,Dem. People's Rep. Of Korea,66.29438481,-2.385034975
2007,Dem. People's Rep. Of Korea,66.17519604,-2.560534116
2008,Dem. People's Rep. Of Korea,66.03567378,-2.765973243
2009,Dem. People's Rep. Of Korea,65.89635277,-2.97111604
2010,Dem. People's Rep. Of Korea,65.70987654,-3.245692397
2011,Dem. People's Rep. Of Korea,65.61374627,-3.38723912
2012,Dem. People's Rep. Of Korea,65.43006885,-3.657694378
2013,Dem. People's Rep. Of Korea,65.24952271,-3.923538992
2014,Dem. People's Rep. Of Korea,65.1442061,-4.078612114
2015,Dem. People's Rep. Of Korea,65.03155626,-4.244483027
2016,Dem. People's Rep. Of Korea,64.87911457,-4.46894533
2017,Dem. People's Rep. Of Korea,64.78309917,-4.610322913
2018,Dem. People's Rep. Of Korea,64.67391304,-4.771093698
1990,Tanzania,64.78890269,0
1991,Tanzania,64.36894333,-0.648196439
1992,Tanzania,63.94898397,-1.296392878
1993,Tanzania,63.52902461,-1.944589317
1994,Tanzania,63.10906525,-2.592785755
1995,Tanzania,62.68910589,-3.240982194
1996,Tanzania,62.26914653,-3.889178633
1997,Tanzania,61.84918718,-4.537375056
1998,Tanzania,61.42922782,-5.185571495
1999,Tanzania,61.00926846,-5.833767934
2000,Tanzania,60.5893091,-6.481964373
2001,Tanzania,60.16934974,-7.130160812
2002,Tanzania,59.74939038,-7.778357251
2003,Tanzania,59.32943102,-8.426553689
2004,Tanzania,58.90947166,-9.074750128
2005,Tanzania,58.48951231,-9.722946552
2006,Tanzania,58.06955295,-10.37114299
2007,Tanzania,57.64959359,-11.01933943
2008,Tanzania,57.22963423,-11.66753587
2009,Tanzania,56.80967487,-12.31573231
2010,Tanzania,56.38971551,-12.96392875
2011,Tanzania,55.96975389,-13.61212867
2012,Tanzania,55.54979228,-14.26032858
2013,Tanzania,55.12983066,-14.90852851
2014,Tanzania,54.70986904,-15.55672844
2015,Tanzania,54.28990743,-16.20492835
2016,Tanzania,53.76044254,-17.02214375
2017,Tanzania,53.23097765,-17.83935915
2018,Tanzania,52.70151276,-18.65657455
1990,Paraguay,64.298666,0
1991,Paraguay,63.65577397,-0.999852827
1992,Paraguay,63.01288195,-1.999705639
1993,Paraguay,62.36998993,-2.999558451
1994,Paraguay,61.72709791,-3.999411263
1995,Paraguay,61.08420589,-4.999264075
1996,Paraguay,60.44131387,-5.999116887
1997,Paraguay,59.79842185,-6.998969699
1998,Paraguay,59.15552983,-7.998822511
1999,Paraguay,58.51263781,-8.998675322
2000,Paraguay,57.86974578,-9.99852815
2001,Paraguay,57.00857287,-11.33786062
2002,Paraguay,56.14739995,-12.6771931
2003,Paraguay,55.28622703,-14.01652558
2004,Paraguay,54.42505412,-15.35585805
2005,Paraguay,53.5638812,-16.69519053
2006,Paraguay,52.70270828,-18.03452302
2007,Paraguay,51.84153536,-19.3738555
2008,Paraguay,50.98036245,-20.71318797
2009,Paraguay,50.11918953,-22.05252045
2010,Paraguay,49.25801661,-23.39185294
2011,Paraguay,48.21534357,-25.01346207
2012,Paraguay,47.17267053,-26.6350712
2013,Paraguay,46.12999748,-28.25668035
2014,Paraguay,45.08732444,-29.87828948
2015,Paraguay,44.0446514,-31.49989861
2016,Paraguay,43.62730934,-32.14896661
2017,Paraguay,42.63848477,-33.68682832
2018,Paraguay,41.93538887,-34.78031275
